,,Marta Chromá
Česky,Anglicky,
,,
Zákon:,Act,
Část,Book,
Hlava,Title,
Díl,Chapter,
Oddíl,Division,
Pododdíl,Subdivision,
Paragraf,Section,
"Odstavec (v zákonech, které se člení na paragrafy)",Subsection,
Pododstavec (písmeno),Paragraph,
Bod,Subparagraph,
,,
Ústavní zákon (navíc):,Constitutional Act,
Článek,Article,
"Odstavec (v předpisech, které se člení na články)",Paragraph,
,,
Novela:,Amended Act; Amendment,
Další:,,
Věta,Clause / sentence,
Preambule,Preamble,
Poznámka pod čarou,Footnote,
