code,name,description,type,bill_name,bill_number,bill_year,bill_section,bill_subsection,bill_paragraph,direct_link
103-1-8,Území obce,Území obce,Referenční,Základní registry,111,2009,31,1,h,https://www.zakonyprolidi.cz/cs/2009-111#p31-1-h
103-1-9,Území vojenského újezdu,Území vojenského újezdu,Referenční,Základní registry,111,2009,31,1,i,https://www.zakonyprolidi.cz/cs/2009-111#p31-1-i
103-1-10,Správní obvod v hlavním městě Praze,Správní obvod v hlavním městě Praze,Referenční,Základní registry,111,2009,31,1,j,https://www.zakonyprolidi.cz/cs/2009-111#p31-1-j
103-1-11,Území městského obvodu v hlavním městě Praze,Území městského obvodu v hlavním městě Praze,Referenční,Základní registry,111,2009,31,1,k,https://www.zakonyprolidi.cz/cs/2009-111#p31-1-k
103-1-12,Území městské části v hlavním městě Praze,Území městské části v hlavním městě Praze,Referenční,Základní registry,111,2009,31,1,l,https://www.zakonyprolidi.cz/cs/2009-111#p31-1-l
103-1-13,Území městského obvodu a městské části územně členěného statutárního města,Území městského obvodu a městské části územně členěného statutárního města,Referenční,Základní registry,111,2009,31,1,m,https://www.zakonyprolidi.cz/cs/2009-111#p31-1-m
103-1-14,Katastrální území,Katastrální území,Referenční,Základní registry,111,2009,31,1,n,https://www.zakonyprolidi.cz/cs/2009-111#p31-1-n
103-1-15,Území základní sídelní jednotky,Území základní sídelní jednotky,Referenční,Základní registry,111,2009,31,1,o,https://www.zakonyprolidi.cz/cs/2009-111#p31-1-o
103-1-16,Stavební objekt,Stavební objekt,Referenční,Základní registry,111,2009,31,1,p,https://www.zakonyprolidi.cz/cs/2009-111#p31-1-p
103-1-17,Adresní místo,Adresní místo,Referenční,Základní registry,111,2009,31,1,q,https://www.zakonyprolidi.cz/cs/2009-111#p31-1-q
103-1-18,Pozemek v podobě parcely,Pozemek v podobě parcely,Referenční,Základní registry,111,2009,31,1,r,https://www.zakonyprolidi.cz/cs/2009-111#p31-1-r
104-1-1,Název a číselný kód agendy,Název a číselný kód agendy,Referenční,Základní registry,111,2009,51,5,a,https://www.zakonyprolidi.cz/cs/2009-111#p51-5-a
104-1-2,Název a identifikátor ohlašovatele agendy,Název a identifikátor ohlašovatele agendy,Referenční,Základní registry,111,2009,51,5,e,https://www.zakonyprolidi.cz/cs/2009-111#p51-5-e
104-1-3,"Právní předpis, který agendu vymezuje","Právní předpis, který agendu vymezuje",Referenční,Základní registry,111,2009,51,5,b,https://www.zakonyprolidi.cz/cs/2009-111#p51-5-b
104-1-4,Výčet a popis činností vykonávaných v agendě,Výčet a popis činností vykonávaných v agendě,Referenční,Základní registry,111,2009,51,5,c,https://www.zakonyprolidi.cz/cs/2009-111#p51-5-c
104-1-5,Výčet rolí OVM a SPUU v agendě,Výčet rolí OVM a SPUU v agendě,Referenční,Základní registry,111,2009,51,5,c,https://www.zakonyprolidi.cz/cs/2009-111#p51-5-c
104-1-6,"Výčet OVM a SPUU, které agendu vykonávají a jejich kategorií","Výčet OVM a SPUU, které agendu vykonávají a jejich kategorií",Referenční,Základní registry,111,2009,51,5,d,https://www.zakonyprolidi.cz/cs/2009-111#p51-5-d
104-1-7,"Výčet a identifikátory OVM, které byly pro výkon agendy registrovány","Výčet a identifikátory OVM, které byly pro výkon agendy registrovány",Referenční,Základní registry,111,2009,51,5,f,https://www.zakonyprolidi.cz/cs/2009-111#p51-5-f
104-1-8,Výčet údajů vedených nebo vytvářených v agendě,Výčet údajů vedených nebo vytvářených v agendě,Referenční,Základní registry,111,2009,51,5,g,https://www.zakonyprolidi.cz/cs/2009-111#p51-5-g
104-1-9,"Rozsah oprávnění k přístupu k údajům ZR, vč. vymezujícího právního předpisu","Rozsah oprávnění k přístupu k údajům ZR, vč. vymezujícího právního předpisu",Referenční,Základní registry,111,2009,51,5,"h, j","https://www.zakonyprolidi.cz/cs/2009-111#p51-5-h, j"
104-1-10,"Výčet údajů z jiných AIS a rozsah oprávnění přístupu k těmto údajům, vč. vymezujícího právního předpisu","Výčet údajů z jiných AIS a rozsah oprávnění přístupu k těmto údajům, vč. vymezujícího právního předpisu",Referenční,Základní registry,111,2009,51,5,"i, j","https://www.zakonyprolidi.cz/cs/2009-111#p51-5-i, j"
1041-1-1,Vlastník plavidla,"Fyzická, právnická osoba vlastnící plavidlo",Nereferenční,Zákon o vnitrozemské plavbě,114,1995,14,2,a,https://www.zakonyprolidi.cz/cs/1995-114#p14-2-a
1041-1-2,Provozovatel plavidla,"Fyzická, právnická osoba provozující plavidlo",Nereferenční,Zákon o vnitrozemské plavbě,114,1995,14,2,b,https://www.zakonyprolidi.cz/cs/1995-114#p14-2-b
1041-1-3,Poznávací znaky,Poznávací znaky plavidla stanovené prováděcím právním předpisem,Nereferenční,Zákon o vnitrozemské plavbě,114,1995,14,2,c,https://www.zakonyprolidi.cz/cs/1995-114#p14-2-c
1041-1-4,Jméno lodě,Jméno lodě,Nereferenční,Zákon o vnitrozemské plavbě,114,1995,14,2,d,https://www.zakonyprolidi.cz/cs/1995-114#p14-2-d
1041-1-5,"Druh plavidla, oblast jeho provozu na vodní cestě a účel, pro který je plavidlo určeno","Druh plavidla, oblast jeho provozu a účel, pro který je  určeno",Nereferenční,Zákon o vnitrozemské plavbě,114,1995,14,2,e,https://www.zakonyprolidi.cz/cs/1995-114#p14-2-e
1041-1-6,"Nosnost, dovolený počet cestujících a ostatní základní technické údaje","Nosnost, dovolený počet cestujících a ostatní základní technické údaje",Nereferenční,Zákon o vnitrozemské plavbě,114,1995,14,2,f,https://www.zakonyprolidi.cz/cs/1995-114#p14-2-f
1041-1-7,Zástavní právo k plavidlu,Zástavní právo,Nereferenční,Zákon o vnitrozemské plavbě,114,1995,14,2,g,https://www.zakonyprolidi.cz/cs/1995-114#p14-2-g
1041-1-8,Datum zápisu a výmazu z plavebního rejstříku,Datum zápisu a výmazu z plavebního rejstříku,Nereferenční,Zákon o vnitrozemské plavbě,114,1995,14,2,h,https://www.zakonyprolidi.cz/cs/1995-114#p14-2-h
1042-1-1,"Obchodní firma nebo jméno, popřípadě jména a příjmení, popřípadě odlišující dodatek, adresa místa trvalého pobytu, datum a místo narození, adresa místa podnikání a identifikační číslo podnikatele, který je fyzickou osobou","Obchodní firma nebo jméno, popřípadě jména a příjmení, popřípadě odlišující dodatek, adresa místa trvalého pobytu, datum a místo narození, adresa místa podnikání a identifikační číslo podnikatele, který je fyzickou osobou",Nereferenční,Zákon o silniční dopravě,111,1994,34b,2,a,https://www.zakonyprolidi.cz/cs/1994-111#p34b-2-a
1042-1-2,"Obchodní firma nebo název, adresa sídla a identifikační číslo podnikatele, který je právnickou osobou","Obchodní firma nebo název, adresa sídla a identifikační číslo podnikatele, který je právnickou osobou",Nereferenční,Zákon o silniční dopravě,111,1994,34b,2,b,https://www.zakonyprolidi.cz/cs/1994-111#p34b-2-b
1042-1-3,Údaje o odpovědných zástupcích podle odstavce 3,Údaje o odpovědných zástupcích podle odstavce 3,Nereferenční,Zákon o silniční dopravě,111,1994,34b,2,c,https://www.zakonyprolidi.cz/cs/1994-111#p34b-2-c
1042-1-4,"Identifikační údaje rozhodnutí o udělení koncese k provozování silniční dopravy pro cizí potřeby a údaje o rozsahu koncese, její změně a zrušení","Identifikační údaje rozhodnutí o udělení koncese k provozování silniční dopravy pro cizí potřeby a údaje o rozsahu koncese, její změně a zrušení",Nereferenční,Zákon o silniční dopravě,111,1994,34b,2,d,https://www.zakonyprolidi.cz/cs/1994-111#p34b-2-d
1042-1-5,"Údaje o trvání, rozsahu a ztrátě finanční a odborné způsobilosti a dobré pověsti","Údaje o trvání, rozsahu a ztrátě finanční a odborné způsobilosti a dobré pověsti",Nereferenční,Zákon o silniční dopravě,111,1994,34b,2,e,https://www.zakonyprolidi.cz/cs/1994-111#p34b-2-e
1042-1-6,"Údaje podle § 9 odst. 4 písm. b) o vozidlech, se kterými podnikatel silniční dopravu provozuje","Údaje podle § 9 odst. 4 písm. b) o vozidlech, se kterými podnikatel silniční dopravu provozuje",Nereferenční,Zákon o silniční dopravě,111,1994,34b,2,f,https://www.zakonyprolidi.cz/cs/1994-111#p34b-2-f
1042-1-7,Identifikační údaje o dokladech vydaných podle tohoto zákona a přímo použitelného předpisu Evropské unie,Identifikační údaje o dokladech vydaných podle tohoto zákona a přímo použitelného předpisu Evropské unie,Nereferenční,Zákon o silniční dopravě,111,1994,34b,2,g,https://www.zakonyprolidi.cz/cs/1994-111#p34b-2-g
1042-1-8,Identifikační údaje rozhodnutí,"Identifikační údaje rozhodnutí, kterým byla uložena sankce za správní delikt, a dále druh a výše sankce a právní kvalifikace správního deliktu nebo trestného činu",Nereferenční,Zákon o silniční dopravě,111,1994,34b,2,h,https://www.zakonyprolidi.cz/cs/1994-111#p34b-2-h
1043-1-1,"název a sídlo obce nebo kraje, usnesení příslušného orgánu obce nebo kraje o souhlasu s konáním sbírky ne starší než 60 dnů","§ 5 odst. 1 písm. a) bod 1 zákona č. 117/2001 Sb., o veřejných sbírkách a o změně některých zákonů (zákon o veřejných sbírkách), ve znění pozdějších předpisů",Nereferenční,"o veřejných sbírkách a o změně některých zákonů (zákon o veřejných sbírkách), ve znění pozdějších předpisů",117,2001,5,1,a,https://www.zakonyprolidi.cz/cs/2001-117#p5-1-a
1043-1-2,"jméno, příjmení, datum narození a adresa místa trvalého pobytu starosty obce, jde-li o obec, nebo hejtmana kraje, jde-li o kraj, popřípadě osob jimi pověřených jednat jménem příslušného územního samosprávného celku ve věci sbírky","§ 5 odst. 1 písm. a) bod 2 zákona č. 117/2001 Sb., o veřejných sbírkách a o změně některých zákonů (zákon o veřejných sbírkách), ve znění pozdějších předpisů",Nereferenční,"o veřejných sbírkách a o změně některých zákonů (zákon o veřejných sbírkách), ve znění pozdějších předpisů",117,2001,5,1,a,https://www.zakonyprolidi.cz/cs/2001-117#p5-1-a
1043-1-3,"název (obchodní firma) právnické osoby, adresa sídla, identifikační číslo a jména, příjmení, data narození a adresy místa trvalého pobytu osob, které jsou statutárními orgány právnické osoby nebo členy statutárního orgánu právnické osoby","§ 5 odst. 1 písm. b) bod 1 zákona č. 117/2001 Sb., o veřejných sbírkách a o změně některých zákonů (zákon o veřejných sbírkách), ve znění pozdějších předpisů",Nereferenční,"o veřejných sbírkách a o změně některých zákonů (zákon o veřejných sbírkách), ve znění pozdějších předpisů",117,2001,5,1,b,https://www.zakonyprolidi.cz/cs/2001-117#p5-1-b
1043-1-4,"jméno, příjmení, datum narození a adresa místa trvalého pobytu fyzické osoby, oprávněné jednat ve věci sbírky jménem právnické osoby","§ 5 odst. 1 písm. b) bod 2 zákona č. 117/2001 Sb., o veřejných sbírkách a o změně některých zákonů (zákon o veřejných sbírkách), ve znění pozdějších předpisů",Nereferenční,"o veřejných sbírkách a o změně některých zákonů (zákon o veřejných sbírkách), ve znění pozdějších předpisů",117,2001,5,1,b,https://www.zakonyprolidi.cz/cs/2001-117#p5-1-b
1043-1-5,účel sbírky,"§ 5 odst. 2 písm. a) zákona č. 117/2001 Sb., o veřejných sbírkách a o změně některých zákonů (zákon o veřejných sbírkách), ve znění pozdějších předpisů",Nereferenční,"o veřejných sbírkách a o změně některých zákonů (zákon o veřejných sbírkách), ve znění pozdějších předpisů",117,2001,5,2,a,https://www.zakonyprolidi.cz/cs/2001-117#p5-2-a
1043-1-6,"území, na kterém se sbírka bude konat","§ 5 odst. 2 písm. b) zákona č. 117/2001 Sb., o veřejných sbírkách a o změně některých zákonů (zákon o veřejných sbírkách), ve znění pozdějších předpisů",Nereferenční,"o veřejných sbírkách a o změně některých zákonů (zákon o veřejných sbírkách), ve znění pozdějších předpisů",117,2001,5,2,b,https://www.zakonyprolidi.cz/cs/2001-117#p5-2-b
1043-1-7,"datum zahájení a ukončení sbírky, nebo údaj o tom, že je konána na dobu neurčitou","§ 5 odst. 2 písm. c) zákona č. 117/2001 Sb., o veřejných sbírkách a o změně některých zákonů (zákon o veřejných sbírkách), ve znění pozdějších předpisů",Nereferenční,"o veřejných sbírkách a o změně některých zákonů (zákon o veřejných sbírkách), ve znění pozdějších předpisů",117,2001,5,2,c,https://www.zakonyprolidi.cz/cs/2001-117#p5-2-c
1043-1-8,způsob provádění sbírky,"§ 5 odst. 2 písm. d) zákona č. 117/2001 Sb., o veřejných sbírkách a o změně některých zákonů (zákon o veřejných sbírkách), ve znění pozdějších předpisů",Nereferenční,"o veřejných sbírkách a o změně některých zákonů (zákon o veřejných sbírkách), ve znění pozdějších předpisů",117,2001,5,2,d,https://www.zakonyprolidi.cz/cs/2001-117#p5-2-d
1043-1-9,"název a adresa banky nebo její pobočky nebo pobočky zahraniční banky, u níž je zřízen bankovní účet ke shromažďování příspěvků získaných sbírkou, a číslo tohoto účtu, koná-li se sbírka způsobem uvedeným v § 9 odst. 1 písm. a)","§ 5 odst. 2 písm. e) zákona č. 117/2001 Sb., o veřejných sbírkách a o změně některých zákonů (zákon o veřejných sbírkách), ve znění pozdějších předpisů",Nereferenční,"o veřejných sbírkách a o změně některých zákonů (zákon o veřejných sbírkách), ve znění pozdějších předpisů",117,2001,5,2,e,https://www.zakonyprolidi.cz/cs/2001-117#p5-2-e
1043-1-10,"podmínky pro otevření a zjištění obsahu pokladniček, koná-li se sbírka způsobem uvedeným v § 9 odst. 1 písm. c)","§ 5 odst. 2 písm. f) zákona č. 117/2001 Sb., o veřejných sbírkách a o změně některých zákonů (zákon o veřejných sbírkách), ve znění pozdějších předpisů",Nereferenční,"o veřejných sbírkách a o změně některých zákonů (zákon o veřejných sbírkách), ve znění pozdějších předpisů",117,2001,5,2,f,https://www.zakonyprolidi.cz/cs/2001-117#p5-2-f
1043-1-11,"určení výše příspěvku při prodeji předmětů, v jejichž ceně je příspěvek zahrnut, nebo určení výše příspěvku na vstupenkách, koná-li se sbírka způsobem uvedeným v § 9 odst. 1 písm. d) nebo e)","§ 5 odst. 2 písm. g) zákona č. 117/2001 Sb., o veřejných sbírkách a o změně některých zákonů (zákon o veřejných sbírkách), ve znění pozdějších předpisů",Nereferenční,"o veřejných sbírkách a o změně některých zákonů (zákon o veřejných sbírkách), ve znění pozdějších předpisů",117,2001,5,2,g,https://www.zakonyprolidi.cz/cs/2001-117#p5-2-g
1043-1-12,"den v roce, ke kterému bude zpracováno roční průběžné vyúčtování podle § 24 odst. 2, koná-li se sbírka na dobu neurčitou nebo na dobu určitou po dobu delší než 1 rok","§ 5 odst. 2 písm. h) zákona č. 117/2001 Sb., o veřejných sbírkách a o změně některých zákonů (zákon o veřejných sbírkách), ve znění pozdějších předpisů",Nereferenční,"o veřejných sbírkách a o změně některých zákonů (zákon o veřejných sbírkách), ve znění pozdějších předpisů",117,2001,5,2,h,https://www.zakonyprolidi.cz/cs/2001-117#p5-2-h
1043-1-13,"den v roce, ke kterému bude zpracováno první roční průběžné vyúčtování podle § 24 odst. 2, není-li tento den totožný s dnem uvedeným v odstavci 2 písm. h)","§ 5 odst. 2 písm. i) zákona č. 117/2001 Sb., o veřejných sbírkách a o změně některých zákonů (zákon o veřejných sbírkách), ve znění pozdějších předpisů",Nereferenční,"o veřejných sbírkách a o změně některých zákonů (zákon o veřejných sbírkách), ve znění pozdějších předpisů",117,2001,5,2,i,https://www.zakonyprolidi.cz/cs/2001-117#p5-2-i
1043-1-14,Přílohy k oznámení o konání sbírky,"§ 5 odst. 3 a 4 zákona č. 117/2001 Sb., o veřejných sbírkách a o změně některých zákonů (zákon o veřejných sbírkách), ve znění pozdějších předpisů",Nereferenční,"o veřejných sbírkách a o změně některých zákonů (zákon o veřejných sbírkách), ve znění pozdějších předpisů",117,2001,5,"3,4",,"https://www.zakonyprolidi.cz/cs/2001-117#p5-3,4-"
1046-1-2,Osobní údaje uvedené v řidičském průkazu a v mezinárodním řidičském průkazu,Osobní údaje,Nereferenční,Zákon o silničním provozu,361,2000,119,2,a,https://www.zakonyprolidi.cz/cs/2000-361#p119-2-a
1046-1-3,Evidence vydaných řidičských průkazů,Vydané řidičské průkazy,Nereferenční,Zákon o provozu na pozemních komunikacích,361,2000,119,2,b,https://www.zakonyprolidi.cz/cs/2000-361#p119-2-b
1046-1-4,"Evidence skupin vozidel, pro které byla udělena řidičská oprávnění","Skupiny vozidel, pro které byla udělena řidičská oprávnění",Nereferenční,Zákon o provozu na pozemních komunikacích,361,2000,119,2,c,https://www.zakonyprolidi.cz/cs/2000-361#p119-2-c
1046-1-5,Evidence vydaných mezinárodních řidičských průkazů,Vydané mezinárodní řidičské průkazy,Nereferenční,Zákon o provozu na pozemních komunikacích,361,2000,119,2,d,https://www.zakonyprolidi.cz/cs/2000-361#p119-2-d
1046-1-6,Evidence řidičských průkazů vydaných výměnou za řidičský průkaz vydaný cizím státem nebo řidičský průkaz členského státu,Evidence řidičských průkazů,Nereferenční,Zákon o provozu na pozemních komunikacích,361,2000,119,2,e,https://www.zakonyprolidi.cz/cs/2000-361#p119-2-e
1046-1-7,Evidence odevzdaných řidičských průkazů a mezinárodních řidičských průkazů,Evidence odevzdaných řidičských průkazů a mezinárodních řidičských průkazů,Nereferenční,Zákon o provozu na pozemních komunikacích,361,2000,119,2,f,https://www.zakonyprolidi.cz/cs/2000-361#p119-2-f
1046-1-8,Evidence spáchaných přestupků proti bezpečnosti a plynulosti provozu na pozemních komunikacích,Evidence spáchaných přestupků,Nereferenční,Zákon o provozu na pozemních komunikacích,361,2000,119,2,g,https://www.zakonyprolidi.cz/cs/2000-361#p119-2-g
1046-1-9,Záznamy o počtu bodů dosažených řidičem v bodovém hodnocení a záznamy o odečtu bodů,Bodové hodnocení řidiče,Nereferenční,Zákon o provozu na pozemních komunikacích,361,2000,119,2,h,https://www.zakonyprolidi.cz/cs/2000-361#p119-2-h
1046-1-10,Údaje o odnětí řidičských oprávnění pro ztrátu zdravotní nebo odborné způsobilosti k řízení motorových vozidel a jejich navrácení,Údaje o odnětí řidičských oprávnění,Nereferenční,Zákon o provozu na pozemních komunikacích,361,2000,119,2,i,https://www.zakonyprolidi.cz/cs/2000-361#p119-2-i
1046-1-11,Údaje o zákazech činnosti spočívajících v zákazu řízení motorových vozidel uložených soudem za spáchané trestné činy nebo správním orgánem za spáchané přestupky,Údaje o zákazech činnosti spočívajících v zákazu řízení motorových vozidel,Nereferenční,Zákon o provozu na pozemních komunikacích,361,2000,119,2,j,https://www.zakonyprolidi.cz/cs/2000-361#p119-2-j
1046-1-12,Evidence řidičských průkazů a mezinárodních řidičských průkazů,"Evidence ztracených, odcizených, poškozených a zničených řidičských průkazů a mezinárodních řidičských průkazů",Nereferenční,Zákon o provozu na pozemních komunikacích,361,2000,119,2,k,https://www.zakonyprolidi.cz/cs/2000-361#p119-2-k
1046-1-13,Evidence tiskopisů mezinárodních řidičských průkazů,"Evidence vyrobených a nevydaných tiskopisů mezinárodních řidičských průkazů a vyrobených a nevydaných tiskopisů potvrzení o oznámení ztráty, odcizení, poškození nebo zničení řidičského průkazu",Nereferenční,Zákon o provozu na pozemních komunikacích,361,2000,119,2,l,https://www.zakonyprolidi.cz/cs/2000-361#p119-2-l
1046-1-14,"Evidence vydaných řidičských průkazů za průkazy ztracené, zničené nebo neupotřebitelné","Evidence vydaných řidičských průkazů za průkazy ztracené, zničené nebo neupotřebitelné",Nereferenční,Zákon o provozu na pozemních komunikacích,361,2000,119,2,m,https://www.zakonyprolidi.cz/cs/2000-361#p119-2-m
1046-1-15,Údaje o pozbytí a vrácení řidičského oprávnění,Údaje o pozbytí řidičského oprávnění a údaje o vrácení řidičského oprávnění,Nereferenční,Zákon o provozu na pozemních komunikacích,361,2000,119,2,n,https://www.zakonyprolidi.cz/cs/2000-361#p119-2-n
1046-1-16,Údaje o pozbytí práva k řízení motorového vozidla,Údaje o pozbytí práva k řízení motorového vozidla na území České republiky po dobu jednoho roku dosažením počtu 12 bodů v bodovém hodnocení,Nereferenční,Zákon o provozu na pozemních komunikacích,361,2000,119,2,o,https://www.zakonyprolidi.cz/cs/2000-361#p119-2-o
1046-1-17,Evidence vydaných průkazů profesní způsobilosti řidiče,Evidence vydaných průkazů profesní způsobilosti řidiče,Nereferenční,Zákon o získávání a zdokonalování odborné způsobilosti k řízení motorových vozidel,247,2000,,,,https://www.zakonyprolidi.cz/cs/2000-247#p--
1046-1-17,Evidence vydaných průkazů profesní způsobilosti řidiče,Evidence vydaných průkazů profesní způsobilosti řidiče,Nereferenční,Zákon o provozu na pozemních komunikacích,361,2000,119,2,p,https://www.zakonyprolidi.cz/cs/2000-361#p119-2-p
1046-1-18,Evidence vydaných osvědčení pro učitele,Evidence vydaných osvědčení pro učitele výuky a výcviku,Nereferenční,Zákon o získávání a zdokonalování odborné způsobilosti k řízení motorových vozidel,247,2000,,,,https://www.zakonyprolidi.cz/cs/2000-247#p--
1046-1-18,Evidence vydaných osvědčení pro učitele,Evidence vydaných osvědčení pro učitele výuky a výcviku,Nereferenční,Zákon o provozu na pozemních komunikacích,361,2000,119,2,q,https://www.zakonyprolidi.cz/cs/2000-361#p119-2-q
1046-1-19,Školení řidičů,Záznamy o účasti na pravidelném školení řidičů,Nereferenční,Zákon o provozu na pozemních komunikacích,361,2000,119,2,r,https://www.zakonyprolidi.cz/cs/2000-361#p119-2-r
1046-1-20,Exekuce pozastavením řidičského oprávnění,Údaje o exekučním příkazu v exekuci pozastavením řidičského oprávnění doručeném správci registru řidičů,Nereferenční,Zákon o provozu na pozemních komunikacích,361,2000,119,2,s,https://www.zakonyprolidi.cz/cs/2000-361#p119-2-s
1046-1-21,Dopravně psychogologická vyšetření,Záznamy o provedených dopravně psychologických vyšetřeních,Nereferenční,Zákon o provozu na pozemních komunikacích,361,2000,119,2,t,https://www.zakonyprolidi.cz/cs/2000-361#p119-2-t
1095-1-1,příjmení,příjmení kontrolovaných osob,Referenční,"Sb., zákon o místním referendu",22,2004,12,6,a,https://www.zakonyprolidi.cz/cs/2004-22#p12-6-a
