code,name,description,type,bill_name,bill_number,bill_year,bill_section,bill_subsection,bill_paragraph,direct_link
101-1-1,Příjmení,Příjmení,Referenční,Základní registry,111,2009,18,1,a,https://www.zakonyprolidi.cz/cs/2009-111#p18-1-a
101-1-2,Jméno / jména,Jméno / jména,Referenční,Základní registry,111,2009,18,1,b,https://www.zakonyprolidi.cz/cs/2009-111#p18-1-b
101-1-3,Adresa pobytu,Adresa pobytu,Referenční,Základní registry,111,2009,18,1,c,https://www.zakonyprolidi.cz/cs/2009-111#p18-1-c
101-1-4,Doručovací adresa,Doručovací adresa,Referenční,Základní registry,111,2009,18,1,c,https://www.zakonyprolidi.cz/cs/2009-111#p18-1-c
101-1-5,Datum narození,Datum narození,Referenční,Základní registry,111,2009,18,1,d,https://www.zakonyprolidi.cz/cs/2009-111#p18-1-d
101-1-6,Místo a okres(stát) narození,Místo a okres(stát) narození,Referenční,Základní registry,111,2009,18,1,d,https://www.zakonyprolidi.cz/cs/2009-111#p18-1-d
101-1-7,Datum úmrtí,Datum úmrtí,Referenční,Základní registry,111,2009,18,1,e,https://www.zakonyprolidi.cz/cs/2009-111#p18-1-e
101-1-8,Datum nabytí právní moci rozhodnutí prohlášení za mrtvého,Datum nabytí právní moci rozhodnutí prohlášení za mrtvého,Referenční,Základní registry,111,2009,18,1,e,https://www.zakonyprolidi.cz/cs/2009-111#p18-1-e
101-1-9,Místo a okres(stát) úmrtí,Místo a okres(stát) úmrtí,Referenční,Základní registry,111,2009,18,1,e,https://www.zakonyprolidi.cz/cs/2009-111#p18-1-e
101-1-10,Státní občanství,Státní občanství,Referenční,Základní registry,111,2009,18,1,f,https://www.zakonyprolidi.cz/cs/2009-111#p18-1-f
101-1-11,Číslo a druh elektronicky čitelných dokladů,Číslo a druh elektronicky čitelných dokladů,Referenční,Základní registry,111,2009,18,1,g,https://www.zakonyprolidi.cz/cs/2009-111#p18-1-g
101-1-12,Typ a identifikátor datové schránky,Typ a identifikátor datové schránky,Referenční,Základní registry,111,2009,18,1,h,https://www.zakonyprolidi.cz/cs/2009-111#p18-1-h
102-1-1,IČO (Identifikační číslo osoby),IČO (Identifikační číslo osoby),Referenční,Základní registry,111,2009,26,2,d,https://www.zakonyprolidi.cz/cs/2009-111#p26-2-d
102-1-2,Fyzická osoba podnikatele,Fyzická osoba podnikatele,Referenční,Základní registry,111,2009,26,2,"b,c,t","https://www.zakonyprolidi.cz/cs/2009-111#p26-2-b,c,t"
102-1-3,Obchodní jméno,Obchodní jméno,Referenční,Základní registry,111,2009,26,2,a,https://www.zakonyprolidi.cz/cs/2009-111#p26-2-a
102-1-4,Datum vzniku,Datum vzniku,Referenční,Základní registry,111,2009,26,2,e,https://www.zakonyprolidi.cz/cs/2009-111#p26-2-e
102-1-5,Datum zániku,Datum zániku,Referenční,Základní registry,111,2009,26,2,f,https://www.zakonyprolidi.cz/cs/2009-111#p26-2-f
102-1-6,Právní forma,Právní forma,Referenční,Základní registry,111,2009,26,2,g,https://www.zakonyprolidi.cz/cs/2009-111#p26-2-g
102-1-7,Právní stav,Právní stav,Referenční,Základní registry,111,2009,26,2,n,https://www.zakonyprolidi.cz/cs/2009-111#p26-2-n
102-1-8,Datová schránka,Datová schránka,Referenční,Základní registry,111,2009,26,2,h,https://www.zakonyprolidi.cz/cs/2009-111#p26-2-h
102-1-9,Statutární orgán,Statutární orgán,Referenční,Základní registry,111,2009,26,2,i,https://www.zakonyprolidi.cz/cs/2009-111#p26-2-i
102-1-10,Likvidátor,Likvidátor,Referenční,Základní registry,111,2009,26,2,j,https://www.zakonyprolidi.cz/cs/2009-111#p26-2-j
102-1-11,Opatrovník právnické osoby,Opatrovník právnické osoby,Referenční,Základní registry,111,2009,26,2,k,https://www.zakonyprolidi.cz/cs/2009-111#p26-2-k
102-1-12,Insolvenční správce,Insolvenční správce,Referenční,Základní registry,111,2009,26,2,l,https://www.zakonyprolidi.cz/cs/2009-111#p26-2-l
102-1-13,Nucený správce,Nucený správce,Referenční,Základní registry,111,2009,26,2,m,https://www.zakonyprolidi.cz/cs/2009-111#p26-2-m
102-1-14,Sídlo,Sídlo,Referenční,Základní registry,111,2009,26,2,o,https://www.zakonyprolidi.cz/cs/2009-111#p26-2-o
102-1-15,Status veřejné prospěšnosti,Status veřejné prospěšnosti,Referenční,Základní registry,111,2009,26,2,u,https://www.zakonyprolidi.cz/cs/2009-111#p26-2-u
102-1-16,Přerušení nebo pozastavení činnosti,Přerušení nebo pozastavení činnosti,Referenční,Základní registry,111,2009,26,2,v,https://www.zakonyprolidi.cz/cs/2009-111#p26-2-v
102-1-17,Provozovna,Provozovna,Referenční,Základní registry,111,2009,26,2,"p,q,r","https://www.zakonyprolidi.cz/cs/2009-111#p26-2-p,q,r"
103-1-1,Území státu,Území státu,Referenční,Základní registry,111,2009,31,1,a,https://www.zakonyprolidi.cz/cs/2009-111#p31-1-a
103-1-2,Území regionu soudržnosti,Území regionu soudržnosti,Referenční,Základní registry,111,2009,31,1,b,https://www.zakonyprolidi.cz/cs/2009-111#p31-1-b
103-1-3,Území vyššího územního samosprávného celku,Území vyššího územního samosprávného celku,Referenční,Základní registry,111,2009,31,1,c,https://www.zakonyprolidi.cz/cs/2009-111#p31-1-c
103-1-4,Území kraje,Území kraje,Referenční,Základní registry,111,2009,31,1,d,https://www.zakonyprolidi.cz/cs/2009-111#p31-1-d
103-1-5,Území okresu,Území okresu,Referenční,Základní registry,111,2009,31,1,e,https://www.zakonyprolidi.cz/cs/2009-111#p31-1-e
103-1-6,Správní obvod obce s rozšířenou působností,Správní obvod obce s rozšířenou působností,Referenční,Základní registry,111,2009,31,1,f,https://www.zakonyprolidi.cz/cs/2009-111#p31-1-f
103-1-7,Správní obvod obce s pověřeným obecním úřadem,Správní obvod obce s pověřeným obecním úřadem,Referenční,Základní registry,111,2009,31,1,g,https://www.zakonyprolidi.cz/cs/2009-111#p31-1-g
