nazev_atributu,datovy_typ,popis,priklad,datovy_typ
id,[[ datovy-typ:řetezec | Řetězec ]],"Identifikátor oznámení na úřední desce, např. pořadové číslo.",2018-1,string
organizace_adresa_cislo_domovni,[[ datovy-typ:celé-císlo | Celé číslo ]],"Provozovatel úřední desky. Číslo popisné nebo číslo evidenční, podle rozlišeného typu stavebního objektu.",12,integer
organizace_adresa_cislo_orientacni,[[ datovy-typ:celé-císlo | Celé číslo ]],"Provozovatel úřední desky. Číslo orientační, slouží k orientaci v rámci nadřazené ulice.",2,integer
organizace_adresa_znak_cisla_orientacniho,[[ datovy-typ:řetezec | Řetězec ]],"Provozovatel úřední desky. Znak čísla orientačního, uveden v případě, že je znak k orientačnímu číslu přidělen.",a,string
organizace_adresa_psc,[[ datovy-typ:řetezec | Řetězec ]],Provozovatel úřední desky. Poštovní směrovací číslo.,33101,string
organizace_adresa_kod_okresu,[[ datovy-typ:řetezec | Řetězec ]],Provozovatel úřední desky. Okres - LAU 1 kód.,CZ0325,string
organizace_adresa_nazev_okresu,[[ datovy-typ:řetezec | Řetězec ]],Provozovatel úřední desky. Název okresu.,Plzeň-sever,string
organizace_adresa_kod_kraje,[[ datovy-typ:řetezec | Řetězec ]],Provozovatel úřední desky. Kraj - NUTS 3 kód.,CZ032,string
organizace_adresa_nazev_kraje,[[ datovy-typ:řetezec | Řetězec ]],Provozovatel úřední desky. Název kraje.,Plzeňský kraj,string
organizace_adresa_budova,[[ datovy-typ:řetezec | Řetězec ]],"Provozovatel úřední desky. Označení budovy jejím názvem, číslem apod.",Prague Gate,string
organizace_adresa_patro,[[ datovy-typ:řetezec | Řetězec ]],Provozovatel úřední desky. Číslo patra nebo jiné označení patra.,4. patro,string
organizace_adresa_mistnost,[[ datovy-typ:řetezec | Řetězec ]],Provozovatel úřední desky. Číslo místnosti nebo jiné označení místnosti.,Místnost 4001,string
organizace_adresa_text,[[ datovy-typ:řetezec | Řetězec ]],Provozovatel úřední desky. Celá adresa jako jeden řetězec.,"Plzeňská 285, 33101, Plasy",string
organizace_zemepisna_sirka,[[ datovy-typ:desetinné-císlo | Desetinné číslo ]],Provozovatel úřední desky. Zeměpisná šířka.,49.6421053,double
organizace_zemepisna_delka,[[ datovy-typ:desetinné-císlo | Desetinné číslo ]],Provozovatel úřední desky. Zeměpisná délka.,12.518535,double
organizace_souradnicovy_system,[[ datovy-typ:řetezec | Řetězec ]],Provozoval úřední desky. Souřadnicový systém.,4326,string
autor_adresa_kod_ruian,[[ datovy-typ:celé-císlo | Celé číslo ]],"Původní autor oznámení. ID v Registru územních identifikátorů, adres a nemovitostí.",694185,integer
autor_adresa_typ_ruian,[[ datovy-typ:řetezec | Řetězec ]],"Původní autor oznámení. Typ prvku v Registru územních identifikátorů, adres a nemovitostí.",stavební objekt,string
autor_adresa_kod_adm,[[ datovy-typ:řetezec | Řetězec ]],"Původní autor oznámení. ID adresního místa v Registru územních identifikátorů, adres a nemovitostí.",696285,string
autor_adresa_kod_obce,[[ datovy-typ:řetezec | Řetězec ]],Původní autor oznámení. Obec - LAU 2 kód.,CZ0325 559351,string
autor_adresa_nazev_obce,[[ datovy-typ:řetezec | Řetězec ]],Původní autor oznámení. Název obce.,Plasy,string
autor_adresa_nazev_momc,[[ datovy-typ:řetezec | Řetězec ]],"Původní autor oznámení. Název městského obvodu/městské části, který je vyplněn pouze v případě členěných statutárních měst.",Plzeň 2-Slovany,string
autor_adresa_nazev_mop,[[ datovy-typ:řetezec | Řetězec ]],"Původní autor oznámení. Název městského obvodu Prahy, který je vyplněn pouze v případě Hlavního města Prahy.",Praha 8,string
autor_adresa_kod_casti_obce,[[ datovy-typ:řetezec | Řetězec ]],Původní autor oznámení. Kód části obce vedené v RÚIAN.,121533,string
autor_adresa_nazev_casti_obce,[[ datovy-typ:řetezec | Řetězec ]],"Původní autor oznámení. Název části obce, v rámci nadřazené obce, ve které je číslován stavební objekt.",Žižkov,string
autor_adresa_nazev_ulice,[[ datovy-typ:řetezec | Řetězec ]],"Původní autor oznámení. Název ulice, která je navázána na adresní místo. Může být vyplněn pouze u obcí, které mají zavedenu uliční síť.",Hlavní,string
autor_adresa_typ_so,[[ datovy-typ:řetezec | Řetězec ]],"Původní autor oznámení. Typ stavebního objektu, může nabývat hodnot: č.p.- číslo popisné stavebního objektu č.ev.- číslo evidenční stavebního objektu.",č.ev.,string
autor_adresa_cislo_domovni,[[ datovy-typ:celé-císlo | Celé číslo ]],"Původní autor oznámení. Číslo popisné nebo číslo evidenční, podle rozlišeného typu stavebního objektu.",12,integer
autor_adresa_cislo_orientacni,[[ datovy-typ:celé-císlo | Celé číslo ]],"Původní autor oznámení. Číslo orientační, slouží k orientaci v rámci nadřazené ulice.",2,integer
autor_adresa_znak_cisla_orientacniho,[[ datovy-typ:řetezec | Řetězec ]],"Původní autor oznámení. Znak čísla orientačního, uveden v případě, že je znak k orientačnímu číslu přidělen.",a,string
autor_adresa_psc,[[ datovy-typ:řetezec | Řetězec ]],Původní autor oznámení. Poštovní směrovací číslo.,33101,string
autor_adresa_kod_okresu,[[ datovy-typ:řetezec | Řetězec ]],Původní autor oznámení. Okres - LAU 1 kód.,CZ0325,string
